Dataset: train=1047399 val=116160 vocab=24000 eos=1 val_chars=562970
param tensors: 74
Step 0: train=10.1998, val_ema=2.0729, lr=0.00045, 1.7s elapsed, 1659ms/step
Step 45: train=6.7548, val_ema=1.3863, lr=0.02000, 25.5s elapsed, 555ms/step
Step 90: train=6.2873, val_ema=1.2887, lr=0.02000, 140.0s elapsed, 1538ms/step
Step 135: train=6.1139, val_ema=1.2414, lr=0.02000, 257.8s elapsed, 1896ms/step
Step 180: train=5.9272, val_ema=1.2133, lr=0.02000, 306.1s elapsed, 1691ms/step
Step 225: train=5.8141, val_ema=1.1922, lr=0.02000, 356.6s elapsed, 1578ms/step
Step 270: train=5.6946, val_ema=1.1755, lr=0.02000, 408.0s elapsed, 1505ms/step
Step 315: train=5.5011, val_ema=1.1643, lr=0.02000, 454.0s elapsed, 1437ms/step
Step 360: train=5.4742, val_ema=1.1541, lr=0.02000, 506.4s elapsed, 1403ms/step
Step 405: train=5.4093, val_ema=1.1451, lr=0.02000, 555.8s elapsed, 1369ms/step
Step 450: train=5.2097, val_ema=1.1393, lr=0.02000, 618.7s elapsed, 1372ms/step
Step 495: train=5.1116, val_ema=1.1339, lr=0.02000, 653.0s elapsed, 1317ms/step
Step 540: train=5.0867, val_ema=1.1288, lr=0.02000, 680.2s elapsed, 1257ms/step
Step 585: train=5.0196, val_ema=1.1258, lr=0.02000, 707.0s elapsed, 1207ms/step
Step 630: train=4.9177, val_ema=1.1226, lr=0.02000, 733.9s elapsed, 1163ms/step
Step 675: train=4.9068, val_ema=1.1197, lr=0.02000, 760.6s elapsed, 1125ms/step
Step 720: train=4.8417, val_ema=1.1186, lr=0.01898, 787.2s elapsed, 1092ms/step
Step 765: train=4.7165, val_ema=1.1172, lr=0.01390, 813.8s elapsed, 1062ms/step
Step 810: train=4.4968, val_ema=1.1160, lr=0.00881, 840.5s elapsed, 1036ms/step
Step 855: train=4.3942, val_ema=1.1160, lr=0.00373, 867.1s elapsed, 1013ms/step
Step 888: train=4.2792, val_ema=1.1164, lr=0.00000, 886.8s elapsed, 998ms/step
Best val: 1.116006 (baseline: 1.115752)
