Dataset: train=1056718 val=116965 vocab=24000 eos=1 val_chars=575228
param tensors: 56
Step 0: train=10.2265, val_ema=2.0358, val_raw=2.0355, lr=0.00043, 4.3s elapsed, 4257ms/step
Step 45: train=6.7009, val_ema=1.3235, val_raw=1.3146, lr=0.01957, 33.7s elapsed, 733ms/step
Step 90: train=6.2660, val_ema=1.2269, val_raw=1.2241, lr=0.02000, 65.7s elapsed, 722ms/step
Step 135: train=5.8364, val_ema=1.1815, val_raw=1.1821, lr=0.02000, 95.2s elapsed, 700ms/step
Step 180: train=5.7961, val_ema=1.1543, val_raw=1.1580, lr=0.02000, 124.7s elapsed, 689ms/step
Step 225: train=5.7156, val_ema=1.1349, val_raw=1.1404, lr=0.02000, 154.3s elapsed, 683ms/step
Step 270: train=5.5344, val_ema=1.1197, val_raw=1.1277, lr=0.02000, 183.9s elapsed, 679ms/step
Step 315: train=5.2652, val_ema=1.1092, val_raw=1.1202, lr=0.02000, 214.0s elapsed, 677ms/step
Step 360: train=5.2152, val_ema=1.1014, val_raw=1.1128, lr=0.02000, 243.4s elapsed, 674ms/step
Step 405: train=5.1459, val_ema=1.0942, val_raw=1.1065, lr=0.02000, 273.8s elapsed, 674ms/step
Step 450: train=5.0766, val_ema=1.0896, val_raw=1.1052, lr=0.02000, 363.0s elapsed, 805ms/step
Step 495: train=4.8872, val_ema=1.0865, val_raw=1.1035, lr=0.02000, 503.5s elapsed, 1015ms/step
Step 540: train=4.7394, val_ema=1.0836, val_raw=1.1005, lr=0.02000, 653.5s elapsed, 1208ms/step
Step 585: train=4.6946, val_ema=1.0825, val_raw=1.1024, lr=0.02000, 803.5s elapsed, 1371ms/step
Step 630: train=4.6884, val_ema=1.0829, val_raw=1.1031, lr=0.02000, 945.2s elapsed, 1498ms/step
Step 675: train=4.5730, val_ema=1.0824, val_raw=1.1032, lr=0.02000, 1075.1s elapsed, 1590ms/step
Step 720: train=4.4887, val_ema=1.0835, val_raw=1.1077, lr=0.02000, 1187.8s elapsed, 1647ms/step
Step 765: train=4.3643, val_ema=1.0854, val_raw=1.1073, lr=0.01894, 1311.7s elapsed, 1712ms/step
Step 810: train=4.2587, val_ema=1.0867, val_raw=1.1070, lr=0.01418, 1423.8s elapsed, 1756ms/step
Step 855: train=4.0179, val_ema=1.0889, val_raw=1.1091, lr=0.00942, 1513.2s elapsed, 1768ms/step
Step 900: train=3.7738, val_ema=1.0920, val_raw=1.1065, lr=0.00466, 1542.7s elapsed, 1712ms/step
Step 944: train=3.5863, val_ema=1.0947, val_raw=1.1047, lr=0.00000, 1571.4s elapsed, 1663ms/step
