Dataset: train=1047399 val=116160 vocab=24000 eos=1 val_chars=562970
param tensors: 92
Step 0: train=10.1929, val_ema=2.0735, val_raw=2.0732, lr=0.00043, 4.3s elapsed, 4323ms/step
Step 45: train=6.7928, val_ema=1.3969, val_raw=1.3853, lr=0.01957, 31.0s elapsed, 674ms/step
Step 90: train=6.3088, val_ema=1.2940, val_raw=1.2883, lr=0.02000, 57.7s elapsed, 634ms/step
Step 135: train=6.1294, val_ema=1.2453, val_raw=1.2428, lr=0.02000, 84.4s elapsed, 621ms/step
Step 180: train=5.9425, val_ema=1.2156, val_raw=1.2168, lr=0.02000, 111.2s elapsed, 615ms/step
Step 225: train=5.8168, val_ema=1.1944, val_raw=1.1963, lr=0.02000, 138.0s elapsed, 611ms/step
Step 270: train=5.7140, val_ema=1.1775, val_raw=1.1822, lr=0.02000, 164.9s elapsed, 608ms/step
Step 315: train=5.5113, val_ema=1.1656, val_raw=1.1732, lr=0.02000, 191.8s elapsed, 607ms/step
Step 360: train=5.4871, val_ema=1.1558, val_raw=1.1628, lr=0.02000, 218.6s elapsed, 606ms/step
Step 405: train=5.4295, val_ema=1.1469, val_raw=1.1564, lr=0.02000, 245.5s elapsed, 605ms/step
Step 450: train=5.2194, val_ema=1.1410, val_raw=1.1527, lr=0.02000, 272.3s elapsed, 604ms/step
Step 495: train=5.1316, val_ema=1.1354, val_raw=1.1464, lr=0.02000, 299.0s elapsed, 603ms/step
Step 540: train=5.0849, val_ema=1.1301, val_raw=1.1425, lr=0.02000, 325.8s elapsed, 602ms/step
Step 585: train=5.0256, val_ema=1.1271, val_raw=1.1427, lr=0.02000, 352.5s elapsed, 601ms/step
Step 630: train=4.9091, val_ema=1.1239, val_raw=1.1378, lr=0.02000, 379.2s elapsed, 601ms/step
Step 675: train=4.9095, val_ema=1.1212, val_raw=1.1378, lr=0.02000, 405.9s elapsed, 600ms/step
Step 720: train=4.8497, val_ema=1.1202, val_raw=1.1379, lr=0.02000, 432.5s elapsed, 600ms/step
Step 765: train=4.7577, val_ema=1.1188, val_raw=1.1356, lr=0.01894, 459.3s elapsed, 600ms/step
Step 810: train=4.6158, val_ema=1.1176, val_raw=1.1326, lr=0.01418, 486.0s elapsed, 599ms/step
Step 855: train=4.5030, val_ema=1.1176, val_raw=1.1313, lr=0.00942, 512.7s elapsed, 599ms/step
Step 900: train=4.3217, val_ema=1.1179, val_raw=1.1274, lr=0.00466, 539.3s elapsed, 599ms/step
Step 944: train=4.1336, val_ema=1.1185, val_raw=1.1247, lr=0.00000, 565.3s elapsed, 598ms/step
