Dataset: train=1047399 val=116160 vocab=24000 eos=1 val_chars=562970
param tensors: 74
Step 0: train=10.1976, val_ema=2.0728, val_raw=2.0725, lr=0.00043, 3.8s elapsed, 3816ms/step
Step 45: train=6.7380, val_ema=1.3831, val_raw=1.3724, lr=0.01957, 29.9s elapsed, 650ms/step
Step 90: train=6.2586, val_ema=1.2833, val_raw=1.2783, lr=0.02000, 55.9s elapsed, 615ms/step
Step 135: train=6.0793, val_ema=1.2353, val_raw=1.2339, lr=0.02000, 82.3s elapsed, 605ms/step
Step 180: train=5.8919, val_ema=1.2065, val_raw=1.2088, lr=0.02000, 108.3s elapsed, 598ms/step
Step 225: train=5.7645, val_ema=1.1853, val_raw=1.1889, lr=0.02000, 134.4s elapsed, 595ms/step
Step 270: train=5.6455, val_ema=1.1688, val_raw=1.1753, lr=0.02000, 160.5s elapsed, 592ms/step
Step 315: train=5.4336, val_ema=1.1575, val_raw=1.1659, lr=0.02000, 186.6s elapsed, 590ms/step
Step 360: train=5.3831, val_ema=1.1474, val_raw=1.1560, lr=0.02000, 212.6s elapsed, 589ms/step
Step 405: train=5.3335, val_ema=1.1388, val_raw=1.1506, lr=0.02000, 238.7s elapsed, 588ms/step
Step 450: train=5.1042, val_ema=1.1337, val_raw=1.1472, lr=0.02000, 264.8s elapsed, 587ms/step
Step 495: train=5.0115, val_ema=1.1284, val_raw=1.1428, lr=0.02000, 290.9s elapsed, 586ms/step
Step 540: train=4.9670, val_ema=1.1244, val_raw=1.1402, lr=0.02000, 316.9s elapsed, 586ms/step
Step 585: train=4.8821, val_ema=1.1228, val_raw=1.1416, lr=0.02000, 343.0s elapsed, 585ms/step
Step 630: train=4.7729, val_ema=1.1206, val_raw=1.1378, lr=0.02000, 369.1s elapsed, 585ms/step
Step 675: train=4.7628, val_ema=1.1188, val_raw=1.1382, lr=0.02000, 395.2s elapsed, 585ms/step
Step 720: train=4.6826, val_ema=1.1186, val_raw=1.1393, lr=0.02000, 421.3s elapsed, 584ms/step
Step 765: train=4.5909, val_ema=1.1181, val_raw=1.1383, lr=0.01894, 447.4s elapsed, 584ms/step
Step 810: train=4.4279, val_ema=1.1183, val_raw=1.1371, lr=0.01418, 473.5s elapsed, 584ms/step
Step 855: train=4.2917, val_ema=1.1196, val_raw=1.1371, lr=0.00942, 499.6s elapsed, 584ms/step
Step 900: train=4.0789, val_ema=1.1209, val_raw=1.1336, lr=0.00466, 525.6s elapsed, 583ms/step
Step 944: train=3.8632, val_ema=1.1223, val_raw=1.1306, lr=0.00000, 551.2s elapsed, 583ms/step
