Dataset: train=1047399 val=116160 vocab=24000 eos=1 val_chars=562970
param tensors: 74
Step 0: train=10.2005, val_ema=2.0731, val_raw=2.0728, lr=0.00043, 3.8s elapsed, 3826ms/step
Step 45: train=6.7801, val_ema=1.3909, val_raw=1.3813, lr=0.01957, 29.9s elapsed, 650ms/step
Step 90: train=6.2964, val_ema=1.2910, val_raw=1.2853, lr=0.02000, 56.0s elapsed, 615ms/step
Step 135: train=6.1107, val_ema=1.2428, val_raw=1.2404, lr=0.02000, 82.1s elapsed, 603ms/step
Step 180: train=5.9348, val_ema=1.2139, val_raw=1.2151, lr=0.02000, 108.1s elapsed, 597ms/step
Step 225: train=5.8126, val_ema=1.1930, val_raw=1.1951, lr=0.02000, 134.2s elapsed, 594ms/step
Step 270: train=5.7058, val_ema=1.1761, val_raw=1.1810, lr=0.02000, 160.3s elapsed, 592ms/step
Step 315: train=5.4897, val_ema=1.1643, val_raw=1.1709, lr=0.02000, 186.4s elapsed, 590ms/step
Step 360: train=5.4785, val_ema=1.1543, val_raw=1.1608, lr=0.02000, 212.5s elapsed, 589ms/step
Step 405: train=5.4061, val_ema=1.1457, val_raw=1.1552, lr=0.02000, 238.6s elapsed, 588ms/step
Step 450: train=5.2159, val_ema=1.1396, val_raw=1.1502, lr=0.02000, 264.7s elapsed, 587ms/step
Step 495: train=5.1314, val_ema=1.1338, val_raw=1.1439, lr=0.02000, 290.8s elapsed, 586ms/step
Step 540: train=5.1022, val_ema=1.1288, val_raw=1.1415, lr=0.02000, 316.9s elapsed, 586ms/step
Step 585: train=5.0008, val_ema=1.1257, val_raw=1.1404, lr=0.02000, 343.0s elapsed, 585ms/step
Step 630: train=4.9103, val_ema=1.1224, val_raw=1.1355, lr=0.02000, 369.1s elapsed, 585ms/step
Step 675: train=4.9111, val_ema=1.1197, val_raw=1.1353, lr=0.02000, 395.1s elapsed, 584ms/step
Step 720: train=4.8450, val_ema=1.1186, val_raw=1.1357, lr=0.02000, 421.2s elapsed, 584ms/step
Step 765: train=4.7434, val_ema=1.1172, val_raw=1.1333, lr=0.01894, 447.3s elapsed, 584ms/step
Step 810: train=4.6307, val_ema=1.1161, val_raw=1.1301, lr=0.01418, 473.3s elapsed, 584ms/step
Step 855: train=4.5070, val_ema=1.1158, val_raw=1.1276, lr=0.00942, 499.4s elapsed, 583ms/step
Step 900: train=4.3430, val_ema=1.1158, val_raw=1.1234, lr=0.00466, 525.5s elapsed, 583ms/step
Step 944: train=4.1358, val_ema=1.1162, val_raw=1.1212, lr=0.00000, 551.1s elapsed, 583ms/step
