Dataset: train=1047399 val=116160 vocab=24000 eos=1 val_chars=562970
param tensors: 74
Step 0: train=10.2001, val_ema=2.0728, val_raw=2.0725, lr=0.00043, 3.8s elapsed, 3817ms/step
Step 45: train=6.7347, val_ema=1.3832, val_raw=1.3742, lr=0.01957, 29.9s elapsed, 650ms/step
Step 90: train=6.2558, val_ema=1.2838, val_raw=1.2791, lr=0.02000, 56.0s elapsed, 615ms/step
Step 135: train=6.0824, val_ema=1.2354, val_raw=1.2341, lr=0.02000, 82.0s elapsed, 603ms/step
Step 180: train=5.8884, val_ema=1.2069, val_raw=1.2090, lr=0.02000, 108.1s elapsed, 597ms/step
Step 225: train=5.7644, val_ema=1.1852, val_raw=1.1886, lr=0.02000, 134.2s elapsed, 594ms/step
Step 270: train=5.6439, val_ema=1.1684, val_raw=1.1744, lr=0.02000, 160.2s elapsed, 591ms/step
Step 315: train=5.4219, val_ema=1.1570, val_raw=1.1658, lr=0.02000, 186.3s elapsed, 589ms/step
Step 360: train=5.3938, val_ema=1.1471, val_raw=1.1552, lr=0.02000, 212.3s elapsed, 588ms/step
Step 405: train=5.3298, val_ema=1.1387, val_raw=1.1511, lr=0.02000, 238.4s elapsed, 587ms/step
Step 450: train=5.1122, val_ema=1.1337, val_raw=1.1478, lr=0.02000, 264.5s elapsed, 587ms/step
Step 495: train=5.0011, val_ema=1.1287, val_raw=1.1422, lr=0.02000, 290.6s elapsed, 586ms/step
Step 540: train=4.9624, val_ema=1.1244, val_raw=1.1399, lr=0.02000, 316.7s elapsed, 585ms/step
Step 585: train=4.8982, val_ema=1.1224, val_raw=1.1408, lr=0.02000, 342.8s elapsed, 585ms/step
Step 630: train=4.7849, val_ema=1.1200, val_raw=1.1374, lr=0.02000, 368.8s elapsed, 585ms/step
Step 675: train=4.7681, val_ema=1.1182, val_raw=1.1384, lr=0.02000, 394.9s elapsed, 584ms/step
Step 720: train=4.6773, val_ema=1.1182, val_raw=1.1395, lr=0.02000, 421.0s elapsed, 584ms/step
Step 765: train=4.6043, val_ema=1.1178, val_raw=1.1389, lr=0.01894, 447.0s elapsed, 584ms/step
Step 810: train=4.4375, val_ema=1.1180, val_raw=1.1369, lr=0.01418, 473.2s elapsed, 583ms/step
Step 855: train=4.2907, val_ema=1.1190, val_raw=1.1363, lr=0.00942, 499.2s elapsed, 583ms/step
Step 900: train=4.0666, val_ema=1.1203, val_raw=1.1326, lr=0.00466, 525.3s elapsed, 583ms/step
Step 944: train=3.8696, val_ema=1.1220, val_raw=1.1309, lr=0.00000, 550.9s elapsed, 583ms/step
